subset_size,repeat,train_MSE,train_correlation,test_MSE,test_correlation
50,0,0.0645997922482185,0.34008112849484967,0.06349170253833193,0.3310688258162424
50,1,0.03607204262400302,0.48597247382208053,0.03557809428535908,0.4806661257607363
50,2,0.03678637028925468,0.4888445710964249,0.03605459455435011,0.49942893861022236
50,3,0.06239221501825272,0.3105415945256074,0.061096176961183045,0.34513276270808546
50,4,0.04489950528933592,0.4408997662688787,0.043356597077097436,0.44564427115987126
50,5,0.027134683878621467,0.5663541604895485,0.025965572884330445,0.5715129485432078
50,6,0.021453910186644966,0.6321570245044784,0.02061354586279954,0.634832462789494
50,7,0.02832114800339794,0.530920536811562,0.02732887617383704,0.5403166379899699
50,8,0.031902660083262535,0.5152301077173499,0.031720047648156044,0.5356094891204844
50,9,0.028015758596485776,0.5389948200010954,0.027615168534790444,0.5526811499649333
100,0,0.020760922646811047,0.6224885513279187,0.020298207787891608,0.6260506970058933
100,1,0.02015354164758717,0.627306357399815,0.020217478456365116,0.6292729462722136
100,2,0.026942341465778168,0.572571545910192,0.02775124411364535,0.571261856003862
100,3,0.04311492354961577,0.4190798841646059,0.039769288895642144,0.46316467347895834
100,4,0.01924059074034188,0.6523352122557363,0.017995152065722345,0.6617688130987246
100,5,0.019286351421061616,0.6527524431054299,0.018981814702433313,0.6536201382075908
100,6,0.019790640630956428,0.6428412368954677,0.01887278172258852,0.6507309423574862
100,7,0.021793081576595028,0.5999873282557647,0.021203337034596984,0.6100351772532171
100,8,0.01903452921930222,0.6426748992443193,0.018671151989421857,0.6607962842682055
100,9,0.018160421756740607,0.6574560083001644,0.017768575411164902,0.6699641604746365
500,0,0.014043481357425185,0.7104964081928928,0.014528904088736461,0.7066987845562758
500,1,0.014692541389098325,0.7030997476810583,0.014347916284915174,0.7132243789117599
500,2,0.013819396011313262,0.7285661708795149,0.013694657366193361,0.7347429090337542
500,3,0.01613709985070095,0.6862263882704616,0.015791070345886844,0.6969848460252157
500,4,0.016401625352864276,0.6876467945412649,0.01648890026337988,0.6902680679906923
500,5,0.013635685839047616,0.7165882581252545,0.013580045540382897,0.7189327739046389
500,6,0.015452273626305307,0.6946243253891314,0.01516731920837774,0.7015823953940902
500,7,0.014492466957804174,0.6994477233207084,0.014265495186815838,0.7099809564158831
500,8,0.011592543846289228,0.7627284811615556,0.011228510277454416,0.7723367994471037
500,9,0.01325344022008593,0.7219885489479114,0.012979329025314722,0.7327617259201064
1000,0,0.013009922970723,0.7280772219135135,0.01314110060406406,0.7320144629475946
1000,1,0.011675572879738999,0.7483915307782533,0.011593821486380735,0.7550866761824593
1000,2,0.01271411344009481,0.7465122780779768,0.012653772994006288,0.7526827055319852
1000,3,0.014620333283647547,0.7033588174702617,0.014486431096390523,0.7099118291706422
1000,4,0.012913383930409621,0.7405382145343185,0.013004961700904568,0.7434451840279843
1000,5,0.012505983178116905,0.7347955788968735,0.012434366566419375,0.7408853582084429
1000,6,0.015602341278664864,0.6898546001756781,0.01530547967725176,0.6973253670012156
1000,7,0.013124938364006192,0.7262133480393191,0.01246979532722063,0.7424844909582756
1000,8,0.011392961417317219,0.7624774101523366,0.01124786140133279,0.7681474997388605
1000,9,0.012603208170924625,0.7347762244819616,0.012478921515457757,0.7410900739137862
